IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.160.14.66,2053,80,false,MXP,Europe,Milan,248,0.00
3.131.137.43,8443,443,true,ORD,North America,Chicago,250,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,251,0.00
54.194.162.247,80,80,false,DUB,Europe,Dublin,252,0.00
15.160.19.149,2086,80,false,MXP,Europe,Milan,257,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,268,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,276,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,282,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,283,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,283,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,283,0.00
15.188.168.174,2087,80,false,CDG,Europe,Paris,284,0.00
13.40.127.237,80,443,true,LHR,Europe,London,284,0.00
18.134.14.0,2053,80,false,ORD,North America,Chicago,286,0.00
15.160.19.149,2096,80,false,MXP,Europe,Milan,288,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,288,0.00
15.160.15.101,2052,80,false,MXP,Europe,Milan,289,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,289,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,289,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,289,0.00
18.171.229.41,8443,80,false,ORD,North America,Chicago,290,0.00
15.160.15.255,2083,80,false,MXP,Europe,Milan,290,0.00
18.134.14.0,443,80,false,ORD,North America,Chicago,290,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,290,0.00
13.36.240.146,443,443,true,CDG,Europe,Paris,290,0.00
18.170.45.38,2096,80,false,ORD,North America,Chicago,290,0.00
18.134.3.11,8080,80,false,ORD,North America,Chicago,290,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,291,0.00
18.168.201.241,8880,80,false,ORD,North America,Chicago,291,0.00
15.160.19.149,2087,80,false,MXP,Europe,Milan,292,0.00
54.216.89.4,2053,80,false,DUB,Europe,Dublin,292,0.00
15.160.80.28,2053,80,false,MXP,Europe,Milan,295,0.00
15.160.19.149,2053,80,false,MXP,Europe,Milan,296,0.00
15.160.15.255,2053,80,false,MXP,Europe,Milan,296,0.00
99.80.238.19,2087,80,false,DUB,Europe,Dublin,296,0.00
15.160.14.66,2096,80,false,MXP,Europe,Milan,297,0.00
15.160.19.149,2095,80,false,MXP,Europe,Milan,297,0.00
52.18.205.36,2087,80,false,DUB,Europe,Dublin,297,0.00
54.74.133.88,80,443,true,DUB,Europe,Dublin,298,0.00
15.160.80.28,2083,80,false,MXP,Europe,Milan,299,0.00
99.80.238.19,2086,80,false,DUB,Europe,Dublin,299,0.00
54.194.102.140,8080,443,true,DUB,Europe,Dublin,300,0.00
52.18.205.36,2053,80,false,DUB,Europe,Dublin,300,0.00
99.80.238.19,2082,80,false,DUB,Europe,Dublin,301,0.00
13.51.138.200,2082,80,false,ARN,Europe,Stockholm,307,0.00
13.48.140.41,2082,80,false,ARN,Europe,Stockholm,308,0.00
13.53.47.110,2096,80,false,ARN,Europe,Stockholm,309,0.00
13.60.98.56,80,80,false,ARN,Europe,Stockholm,310,0.00
15.160.14.66,2095,80,false,MXP,Europe,Milan,311,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,313,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,313,0.00
13.49.6.192,2082,80,false,ARN,Europe,Stockholm,314,0.00
13.51.48.84,2096,443,true,ARN,Europe,Stockholm,314,0.00
54.233.145.43,80,80,false,GIG,South America,Rio de Janeiro,351,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,417,0.00
13.246.85.121,2096,80,false,CPT,Africa,Cape Town,422,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,427,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,428,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,428,0.00
